objectid,codbairro,bairro,area_planejamento,cod_rp,rp,ra,regiao_adm,total_transações,uso,média_percentual_transferido,média_área_terreno,média_valor_transações,média_valor_imóvel,principal_transação_mercado,ano_transação
377597,141,Bangu,5,5.1,Bangu,17,BANGU                   ,40,TERRITORIAL,91.31025,577.025641,244774.20525,264367.1915,COMPRA E VENDA,2015
377598,97,Bancários                 ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,2,TERRITORIAL,100,340.5,193162.6,193162.6,COMPRA E VENDA,2016
377599,114,Pavuna                    ,3,3.6,Pavuna,25,PAVUNA                  ,29,TERRITORIAL,100,1010.448275,945964.303793,945964.303793,COMPRA E VENDA,2016
377600,47,Parada de Lucas           ,3,3.5,Penha,31,VIGARIO GERAL           ,1,TERRITORIAL,100,2783,712605.88,712605.88,COMPRA E VENDA,2016
377601,76,Irajá                     ,3,3.3,Madureira,14,IRAJA                   ,1,TERRITORIAL,100,267,110629.82,110629.82,COMPRA E VENDA,2016
377602,92,Zumbi                     ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,1,TERRITORIAL,100,675,40812.05,40812.05,COMPRA E VENDA,2016
377603,69,Piedade                   ,3,3.2,Méier,13,MEIER                   ,1,TERRITORIAL,100,1924,858967.22,858967.22,COMPRA E VENDA,2019
377604,123,Tanque                    ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,4,TERRITORIAL,54.1825,7736.5,208542.77,262027.41,COMPRA E VENDA,2019
377605,36,Vila Isabel               ,2,2.2,Tijuca,9,VILA ISABEL             ,2,TERRITORIAL,100,426,403000.01,403000.01,COMPRA E VENDA,2019
377606,7,Rio Comprido              ,1,1.1,Centro,3,RIO COMPRIDO            ,4,TERRITORIAL,100,383.75,127440,127440,COMPRA E VENDA,2019
377607,33,Tijuca                    ,2,2.2,Tijuca,8,TIJUCA                  ,1,TERRITORIAL,100,225,199999.99,199999.99,COMPRA E VENDA,2019
377608,121,Pechincha                 ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,5,TERRITORIAL,89.92,532.4,247971352,263188632,COMPRA E VENDA,2019
377609,34,Alto da Boa Vista         ,2,2.2,Tijuca,8,TIJUCA                  ,2,TERRITORIAL,100,1890,637999.99,637999.99,COMPRA E VENDA,2019
377610,20,Botafogo                  ,2,2.1,Zona Sul,4,BOTAFOGO                ,2,TERRITORIAL,100,476,3999999.75,3999999.75,COMPRA E VENDA,2019
377611,150,Sepetiba                  ,5,5.3,Santa Cruz,19,SANTA CRUZ              ,1,TERRITORIAL,100,467,75678.19,75678.19,COMPRA E VENDA,2019
